Name of Initiative,Organization Name,Location Name,Location 1,Street Address Line 1,Street Address Line 2,City,State,ZIP Code,Telephone Number,NPI,Category,Unique ID
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Trinity Hospitals,Trinity Hospitals,"400 Burdick Expy E  Minot ND 58701 (48.231903, -101.28614)",400 Burdick Expy E,,Minot,ND,58701,(701) 857-2850,1427103910,Administrative Location,1
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Gritman Medical Center Inc,Gritman Medical Center Inc,"700 S Main St  Moscow ID 83843 (46.728782, -117.000929)",700 S Main St,,Moscow,ID,83843,(208) 882-4511,1619988144,Administrative Location,2
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Mary Greeley Medical Center,Mary Greeley Medical Center,"1111 Duff Ave  Ames IA 50010 (42.032416, -93.611475)",1111 Duff Ave,,Ames,IA,50010,(515) 239-2011,1477539492,Administrative Location,3
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Michigan Institute For Health Enhancement,Michigan Institute For Health Enhancement,"4986 N Adams Rd Ste D Rochester MI 48306 (42.724854, -83.199524)",4986 N Adams Rd,Ste D,Rochester,MI,48306,(248) 475-4701,1861489502,Administrative Location,4
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Poudre Valley Health Care Inc,Poudre Valley Health Care Inc,"1024 S Lemay Ave Poudre Valley Hosp Fort Collins CO 80524 (40.571767, -105.05556)",1024 S Lemay Ave,Poudre Valley Hosp,Fort Collins,CO,80524,(970) 495-8205,1710542246,Administrative Location,5
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Poudre Valley Health Care Inc,Poudre Valley Health Care Inc,"2121 E Harmony Rd Uchealth Har Campus Fort Collins CO 80528 (40.522302, -105.036558)",2121 E Harmony Rd,Uchealth Har Campus,Fort Collins,CO,80528,(970) 495-8205,1710542246,Community Setting,6
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Poudre Valley Health Care Inc,Poudre Valley Health Care Inc,"2500 Rocky Mountain Ave Med Ctr Of The Rocki Loveland CO 80538 (40.418119, -104.997448)",2500 Rocky Mountain Ave,Med Ctr Of The Rocki,Loveland,CO,80538,(970) 495-8205,1710542246,Community Setting,7
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Poudre Valley Health Care Inc,Poudre Valley Health Care Inc,"6767 W 29th St Uchealth Greeley Greeley CO 80634 (40.389843, -104.788995)",6767 W 29th St,Uchealth Greeley,Greeley,CO,80634,(970) 495-8205,1710542246,Community Setting,8
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Norman Regional Providers Specialty Care,Norman Regional Providers-Specialty,"3201 W Tecumseh Rd Ste 230 Nrhs Diabetes Education & Nutrition Norman OK 73072 (35.262817, -97.488945)",3201 W Tecumseh Rd Ste 230,Nrhs Diabetes Education & Nutrition,Norman,OK,73072,(405) 307-5730,1548513773,Administrative Location,9
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Lakeview Medical Center Inc Of Rice Lake,Lakeview Medical Center Inc Of Rice Lake,"1200 Port Arthur Rd  Ladysmith WI 54848 (45.455967, -91.115628)",1200 Port Arthur Rd,,Ladysmith,WI,54848,(715) 532-5561,1154415024,Community Setting,10
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Lakeview Medical Center Inc Of Rice Lake,Lakeview Medical Center Inc Of Rice Lake,"1215 W Knapp St  Rice Lake WI 54868 (45.509976, -91.752564)",1215 W Knapp St,,Rice Lake,WI,54868,(715) 236-4450,1154415024,Community Setting,11
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Lakeview Medical Center Inc Of Rice Lake,Lakeview Medical Center Inc Of Rice Lake,"1700 W Stout St  Rice Lake WI 54868 (45.506607, -91.759165)",1700 W Stout St,,Rice Lake,WI,54868,(715) 236-6207,1154415024,Administrative Location,12
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Gobble Shults & Associates Inc,Gobble Shults & Associates Inc,"8800 Se Sunnyside Rd Ste 224south Clackamas OR 97015 (45.432742, -122.572915)",8800 Se Sunnyside Rd,Ste 224south,Clackamas,OR,97015,(503) 652-5070,1275604399,Administrative Location,13
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Monongalia County General Hospital Company,Monongalia County General Hospital Company,"1200 J D Anderson Dr  Morgantown WV 26505 (39.663269, -79.946479)",1200 J D Anderson Dr,,Morgantown,WV,26505,(304) 598-1805,1477890440,Administrative Location,14
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Eastport Health Care, Inc",Eastport Health Care Inc,"30 Boynton St  Eastport ME 04631 (44.904928, -66.98768)",30 Boynton St,,Eastport,ME,04631,(207) 853-0180,1093752917,Administrative Location,15
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Cecil County Health Department,Cecil County Health Department,"401 Bow St  Elkton MD 21921 (39.611597, -75.832034)",401 Bow St,,Elkton,MD,21921,(410) 996-5550,1902924574,Administrative Location,16
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Chester County Hospital,Chester County Hospital,"701 E Marshall St  West Chester PA 19380 (39.970496, -75.602276)",701 E Marshall St,,West Chester,PA,19380,(610) 738-2835,1356333579,Administrative Location,17
Medicare Diabetes Prevention Program (MDPP) Expanded Model,University Of Kentucky,Barnstable Brown Diabetes Center,"2195 Harrodsburg Rd Ste 125 Lexington KY 40504 (38.025664, -84.540624)",2195 Harrodsburg Rd,Ste 125,Lexington,KY,40504,(859) 323-2232,1215449178,Administrative Location,18
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Sun Health Services,Sun Health Services,"13180 N 103rd Dr  Sun City AZ 85351 (33.603627, -112.282129)",13180 N 103rd Dr,,Sun City,AZ,85351,(623) 471-9355,1326463779,Community Setting,19
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Sun Health Services,Sun Health Services,"14719 W Grand Ave  Surprise AZ 85374 (33.657564, -112.37669)",14719 W Grand Ave,,Surprise,AZ,85374,(623) 471-9355,1326463779,Administrative Location,20
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Spartanburg Medical Center,Spartanburg Medical Center,"2755 S Highway 14 Ste 2500 Greer SC 29650 (34.862289, -82.220536)",2755 S Highway 14,Ste 2500,Greer,SC,29650,(864) 849-9336,1558465005,Administrative Location,21
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Spartanburg Medical Center,Spartanburg Medical Center,"853 N Church St  Spartanburg SC 29303 (34.964451, -81.942646)",853 N Church St,,Spartanburg,SC,29303,(864) 560-6419,1558465005,Administrative Location,22
Medicare Diabetes Prevention Program (MDPP) Expanded Model,La Pine Community Health Center,La Pine Community Health Center,"51600 Huntington Rd  La Pine OR 97739 (43.675048, -121.503431)",51600 Huntington Rd,,La Pine,OR,97739,(541) 536-3435,1639316193,Administrative Location,23
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Washington,Providence Health & Services Washington,"1010 S Scheuber Rd Ste 3 Centralia WA 98531 (46.708951, -122.986785)",1010 S Scheuber Rd,Ste 3,Centralia,WA,98531,(360) 493-7567,1215431697,Administrative Location,24
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Washington,Providence Health & Services Washington,"1620 Cooper Point Rd Sw  Olympia WA 98502 (47.034261, -122.93476)",1620 Cooper Point Rd Sw,,Olympia,WA,98502,(360) 493-7567,1215431697,Administrative Location,25
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Washington,Providence Health & Services Washington,"2555 Marvin Rd Ne  Lacey WA 98516 (47.070083, -122.773342)",2555 Marvin Rd Ne,,Lacey,WA,98516,(360) 493-7567,1215431697,Administrative Location,26
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Washington,Providence Health & Services Washington,"4800 College St Se  Lacey WA 98503 (47.004547, -122.821533)",4800 College St Se,,Lacey,WA,98503,(360) 493-7567,1215431697,Administrative Location,27
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Association Office,"909 4th Ave  Seattle WA 98104 (47.605458, -122.332791)",909 4th Ave,,Seattle,WA,98104,(206) 382-7893,1962526046,Administrative Location,28
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Auburn Valley Ymca,"1620 Perimeter Rd  Auburn WA 98001 (47.293625, -122.238629)",1620 Perimeter Rd,,Auburn,WA,98001,(253) 833-2770,1962526046,Community Setting,29
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Bellevue Family Ymca,"14230 Ne Bel Red Rd  Bellevue WA 98007 (47.626158, -122.149757)",14230 Ne Bel Red Rd,,Bellevue,WA,98007,(425) 746-9900,1962526046,Community Setting,30
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Briggs Community Ymca,"1530 Yelm Hwy Se  Olympia WA 98501 (47.003918, -122.882029)",1530 Yelm Hwy Se,,Olympia,WA,98501,(360) 357-6609,1962526046,Community Setting,31
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Coal Creek Family Ymca,"13750 Newcastle Golf Club Rd  Newcastle WA 98059 (47.541023, -122.15598)",13750 Newcastle Golf Club Rd,,Newcastle,WA,98059,(425) 282-1500,1962526046,Community Setting,32
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Dale Turner Family Ymca,"19290 Aurora Ave N  Shoreline WA 98133 (47.769249, -122.345272)",19290 Aurora Ave N,,Shoreline,WA,98133,(206) 363-0446,1962526046,Community Setting,33
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Downtown Seattle Ymca,"909 4th Ave  Seattle WA 98104 (47.605458, -122.332791)",909 4th Ave,,Seattle,WA,98104,(206) 382-5000,1962526046,Community Setting,34
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Fauntleroy Ymca,"9140 California Ave Sw  Seattle WA 98136 (47.521265, -122.386993)",9140 California Ave Sw,,Seattle,WA,98136,(206) 937-1000,1962526046,Community Setting,35
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Matt Griffin Ymca,"3595 S 188th St  Seatac WA 98188 (47.433725, -122.28801)",3595 S 188th St,,Seatac,WA,98188,(206) 244-5880,1962526046,Community Setting,36
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Meredith Mathews East Madison Ymca,"1700 23rd Ave  Seattle WA 98122 (47.616782, -122.302195)",1700 23rd Ave,,Seattle,WA,98122,(206) 322-6969,1962526046,Community Setting,37
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Northshore Ymca,"11811 Ne 195th St  Bothell WA 98011 (47.767834, -122.182142)",11811 Ne 195th St,,Bothell,WA,98011,(425) 485-9797,1962526046,Community Setting,38
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Sammamish Family Ymca,"831 228th Ave Se  Sammamish WA 98075 (47.600484, -122.038741)",831 228th Ave Se,,Sammamish,WA,98075,(425) 391-4840,1962526046,Community Setting,39
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,Snoqualmie Valley Ymca,"35018 Se Ridge St  Snoqualmie WA 98065 (47.532337, -121.873004)",35018 Se Ridge St,,Snoqualmie,WA,98065,(425) 647-1184,1962526046,Community Setting,40
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,University Family Ymca,"5003 12th Ave Ne  Seattle WA 98105 (47.665249, -122.315559)",5003 12th Ave Ne,,Seattle,WA,98105,(206) 524-1400,1962526046,Community Setting,41
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Greater Seattle,West Seattle Ymca,"3622 Sw Snoqualmie St  Seattle WA 98126 (47.562169, -122.377989)",3622 Sw Snoqualmie St,,Seattle,WA,98126,(206) 935-6000,1962526046,Community Setting,42
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1001 Providence Dr  Newberg OR 97132 (45.307881, -122.93577)",1001 Providence Dr,,Newberg,OR,97132,(503) 215-1290,1003319724,Administrative Location,43
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1003 Providence Dr Ste 210 Newberg OR 97132 (45.308021, -122.935712)",1003 Providence Dr,Ste 210,Newberg,OR,97132,(503) 215-1290,1003319724,Administrative Location,44
